left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0.121211,0.0127599,0.01,0.01,0.0243615,0.976453,0.0568026,0.226234,0.0718559,0.719335,0.0389658,0.01,0.01,0.0848152,0.0119377,0.441256,0.0685602,0.82849
0.118688,0.012496,0.01,0.01,0.0229883,0.935853,0.055775,0.227993,0.0744421,0.746171,0.0366828,0.01,0.01,0.0825242,0.0121329,0.429062,0.0660143,0.813043
0.115782,0.0122574,0.01,0.01,0.0217464,0.882933,0.0545956,0.230478,0.0765192,0.76553,0.0348814,0.01,0.01,0.0804735,0.011929,0.415223,0.0641706,0.793379
0.112594,0.0120415,0.01,0.01,0.0206232,0.824849,0.0533038,0.233805,0.0781622,0.77425,0.0334366,0.01,0.01,0.0786433,0.0117446,0.40018,0.0629159,0.770472
0.109207,0.0118463,0.01,0.01,0.0196074,0.767954,0.051933,0.238059,0.079436,0.774229,0.0321938,0.01,0.01,0.0770111,0.0115777,0.384299,0.0621527,0.745144
0.105689,0.0116698,0.01,0.01,0.0186888,0.713449,0.0505109,0.243279,0.0803973,0.767092,0.031093,0.01,0.01,0.0755536,0.0114269,0.367889,0.0617968,0.718087
0.102099,0.0115101,0.01,0.01,0.017858,0.65868,0.0490608,0.249417,0.081095,0.754233,0.0301302,0.01,0.01,0.0742499,0.0112904,0.351204,0.0617759,0.689882
0.0984851,0.0113657,0.01,0.01,0.0177943,0.60121,0.0476016,0.256362,0.0815714,0.736838,0.0293161,0.01,0.01,0.0730834,0.0111671,0.334456,0.0620277,0.661013
0.0948853,0.0151704,0.01,0.01,0.0243657,0.54468,0.046149,0.263912,0.0818632,0.715918,0.028635,0.01,0.01,0.0720397,0.0110555,0.317816,0.0624993,0.631878
0.0913319,0.0206828,0.01,0.01,0.0323741,0.493555,0.0447156,0.271885,0.0820018,0.692328,0.0280413,0.01,0.01,0.0711042,0.0109545,0.301424,0.0631451,0.602806
0.0878502,0.025643,0.01,0.01,0.0395774,0.447318,0.0433117,0.280117,0.0820146,0.666791,0.0275042,0.01,0.01,0.0702644,0.0108633,0.28539,0.0639266,0.574063
0.0845107,0.0325295,0.01,0.01,0.0484737,0.405503,0.0419451,0.28846,0.0819248,0.639914,0.0270194,0.01,0.01,0.0695111,0.0107807,0.2698,0.0648111,0.545863
0.081725,0.0303752,0.01,0.01,0.0624521,0.421718,0.0406254,0.296782,0.0817523,0.612203,0.0265942,0.01,0.01,0.0688378,0.0107061,0.254721,0.0657709,0.518374
0.0800779,0.028427,0.01,0.01,0.0829559,0.428521,0.0393932,0.30496,0.0815141,0.584545,0.0260974,0.01,0.01,0.0681725,0.0106386,0.243749,0.0659903,0.475292
0.0801746,0.026665,0.01,0.01,0.108225,0.427947,0.0382751,0.312897,0.0812248,0.557443,0.025547,0.01,0.01,0.0675198,0.0105775,0.237122,0.065404,0.430802
0.0825555,0.0250716,0.01,0.01,0.134264,0.424242,0.0373124,0.320511,0.0808967,0.531144,0.0249583,0.01,0.01,0.0668838,0.0105223,0.23465,0.0640438,0.390566
