joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.435964,-5.93056e-05,0.31009000000000003,0.00073855,-0.61417,-0.00012922,1.26501,-0.00431668,83.4068,1,0,0.253947
-0.433746,-5.93271e-05,0.309396,-0.00019248,-0.617066,-0.00012928,1.26681,-0.0046254,83.6538,1,0,0.255143
-0.431526,-5.934680000000001e-05,0.308689,-0.00111989,-0.619946,-0.000129337,1.26853,-0.00486642,83.8978,1,0,0.25634
-0.429305,-5.9366e-05,0.307971,-0.00204531,-0.6228100000000001,-0.00012939,1.27018,-0.00504147,84.1445,1,0,0.257537
-0.427083,-5.938350000000001e-05,0.30724,-0.00296733,-0.625658,-0.000129441,1.27176,-0.0051539,84.3878,1,0,0.258735
-0.424861,-5.94006e-05,0.3065,-0.0038877,-0.62849,-0.00012948700000000002,1.27326,-0.00520828,84.6332,1,0,0.259934
-0.422639,-5.94159e-05,0.305748,-0.00480507,-0.631306,-0.000129531,1.27469,-0.00521014,84.8754,1,0,0.261133
-0.420419,-5.94304e-05,0.304989,-0.00572121,-0.6341060000000001,-0.000129571,1.27605,-0.00516541,85.1214,1,0,0.262333
-0.418199,-5.94434e-05,0.304219,-0.00663474,-0.636891,-0.000129609,1.27734,-0.00508131,85.3634,1,0,0.263534
-0.415982,-5.94566e-05,0.303442,-0.00754748,-0.63966,-0.000129641,1.27855,-0.00496588,85.6078,1,0,0.264736
-0.413765,-5.94682e-05,0.302656,-0.00845807,-0.642412,-0.000129671,1.27969,-0.00482696,85.8494,1,0,0.265938
-0.411552,-5.947930000000001e-05,0.301865,-0.00936833,-0.64515,-0.00012969700000000002,1.28077,-0.00467174,86.0934,1,0,0.267142
-0.409341,-5.94897e-05,0.301065,-0.0102768,-0.64787,-0.000129718,1.28177,-0.00450838,86.3339,1,0,0.26834600000000003
-0.407134,-5.94997e-05,0.30026,-0.0111854,-0.650575,-0.000129735,1.2827,-0.004343100000000001,86.5775,1,0,0.26955
-0.404928,-5.95089e-05,0.299448,-0.0120926,-0.653262,-0.000129748,1.28356,-0.0041822,86.8171,1,0,0.270756
-0.402728,-5.95184e-05,0.298632,-0.0130003,-0.655934,-0.000129755,1.28434,-0.00403034,87.0614,1,0,0.271962
-0.400529,-5.9527e-05,0.29781,-0.013906899999999998,-0.6585880000000001,-0.000129758,1.28506,-0.00389122,87.3007,1,0,0.27316999999999997
-0.398336,-5.95368e-05,0.296984,-0.0148144,-0.6612239999999999,-0.000129754,1.28571,-0.00376769,87.5433,1,0,0.274377
-0.396145,-5.95455e-05,0.296153,-0.0157212,-0.6638430000000001,-0.000129746,1.28629,-0.00366056,87.7823,1,0,0.275586
-0.393959,-5.95543e-05,0.29532,-0.0166292,-0.6664439999999999,-0.000129733,1.28679,-0.00356911,88.0238,1,0,0.276796
-0.391775,-5.95632e-05,0.294482,-0.0175369,-0.669026,-0.00012971399999999998,1.28723,-0.00349217,88.2628,1,0,0.278006
